Name,Type,Location,Ratings,Reviews,Menu_Price,Pax,Rooms,Amenities
Kaleva Banquet,"Banquet Halls, Small Function / Party Halls","New Sanganer Road Mansarover, Jaipur ",,,₹600per plate,60-90,,+2 more
HACCRS Banquet and Conference,"Banquet Halls, Venues With Rooms",Jaipur ,,,₹550per plate,250-350,20,+3 more
Kumar's Govindam,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,₹800per plate,250-3000,,+2 more
Handi Restaurant,Small Function / Party Halls,Jaipur ,,,₹500per plate,70-200,,+2 more
Krishna Palace,"Marriage Garden / Lawns, 3 Star Hotels with Banquets","Murlipura, Jaipur ",5.0,1 review,₹450per plate,150-300,26,+3 more
Avadh Farms,"Marriage Garden / Lawns, Wedding Farmhouses",Jaipur ,,,Price on Request,300-400,3,+4 more
Sapta Shakti Officers Institute,Marriage Garden / Lawns,Jaipur ,,,₹300per plate,600-1000,,+2 more
Ananta Spa & Resort Jaipur,"4 Star & Above Wedding Hotels, Wedding Resorts",Jaipur ,5.0,2 reviews,"₹3,500per plate",60-1500,200,+4 more
Kyriad Hotel Jaipur,"Banquet Halls, Small Function / Party Halls","Bapu Nagar, Jaipur ",5.0,2 reviews,₹650per plate,,,+2 more
Shivam Resort And Hotel,"Banquet Halls, Marriage Garden / Lawns","Ajmer Road, Jaipur ",5.0,1 review,₹500per plate,300-1050,27,+3 more
Grand Royal Banquet,Banquet Halls,Delhi NCR ,5.0,1 review,"₹1,000per plate",250-450,,+2 more
Orana Hotels and Resorts,"Wedding Resorts, Destination Wedding Venues","Aerocity, Delhi NCR ",4.7,7 reviews,"₹4,000per plate",75-1500,49,+3 more
"Shiv Vatika, Karol Bagh",Banquet Halls,"Karol Bagh, Delhi NCR ",,1 review,₹600per plate,250-400,,+2 more
Holiday Inn Aerocity,"4 Star & Above Wedding Hotels, Banquet Halls","Aerocity, Delhi NCR ",4.5,9 reviews,"₹3,500per plate",50-450,265,+3 more
Silky Green Valley,"Banquet Halls, Marriage Garden / Lawns","Surajkund, Delhi NCR ",4.5,9 reviews,"₹1,200per plate",100-1000,6,+3 more
Yash Farm,Marriage Garden / Lawns,Delhi NCR ,5.0,1 review,₹600per plate,800-1000,,+3 more
Ginger Faridabad,"Banquet Halls, 3 Star Hotels with Banquets","Sector 15, Delhi NCR ",4.5,1 review,"₹1,000per plate",60-120,25,+3 more
Maharaja Agrasen Bhawan,Banquet Halls,"Rohini, Delhi NCR ",5.0,1 review,₹300per plate,180-300,,+2 more
Hotel Mukund Residency,"Banquet Halls, 3 Star Hotels with Banquets","Kaushambi, Delhi NCR ",,1 review,₹650per plate,50-200,25,+3 more
Poonam Villa,"Banquet Halls, Venues With Rooms","Vasant Kunj, Delhi NCR ",5.0,1 review,₹800per plate,200-250,38,+3 more
World Art Dining,"Banquet Halls, Small Function / Party Halls",Delhi NCR ,,3 reviews,"₹1,200per plate",70-250,,+2 more
Taj City Centre Gurugram,"4 Star & Above Wedding Hotels, Banquet Halls","Sushant Lok, Delhi NCR ",,14 reviews,"₹5,000per plate",100-450,208,+3 more
DoubleTree by Hilton Gurugram Baani Square,"4 Star & Above Wedding Hotels, Banquet Halls","South City 2, Delhi NCR ",,13 reviews,"₹2,500per plate",30-300,201,+4 more
Green Lounge,"Banquet Halls, Convention / Function Halls","Rani Bagh, Delhi NCR ",,16 reviews,"₹1,450per plate",1450-1450,,+2 more
Veda Farms & Banquets,"Banquet Halls, Marriage Garden / Lawns","Brijwasan, Delhi NCR ",,14 reviews,"₹2,700per plate",250-1000,,+2 more
Wedding Opera,Banquet Halls,"Lawrence Road, Delhi NCR ",,12 reviews,"₹2,000per plate",70-1000,,+2 more
Valentine Banquet,"Banquet Halls, Convention / Function Halls","Najafgarh Road, Delhi NCR ",5.0,1 review,₹850per plate,850-950,,+2 more
Divine Dreams Farm & Banquets,"Banquet Halls, Venues With Rooms",Delhi NCR ,5.0,4 reviews,"₹1,500per plate",480-800,2,+3 more
Red Fox Hotel,"Banquet Halls, 3 Star Hotels with Banquets","Mayur Vihar, Delhi NCR ",5.0,1 review,"₹1,000per plate",180-300,24,+3 more
The Country Touch Resort,"Marriage Garden / Lawns, Wedding Resorts","Sohna Road, Delhi NCR ",5.0,1 review,₹950per plate,700-1100,20,+3 more
Hotel Green Park Chennai,"4 Star & Above Wedding Hotels, Banquet Halls","Vadapalani, Chennai ",4.5,4 reviews,"₹1,850per plate",800-2000,179,+4 more
"Lord of the Drinks, Chennai",Small Function / Party Halls,"Nungambakkam, Chennai ",,,Price on Request,70-120,,+2 more
Falor Farm,"Banquet Halls, Marriage Garden / Lawns","ECR East Coast Road, Chennai ",5.0,1 review,Price on Request,200-300,5,+4 more
"Fortune Beach Resort, ECR, Chennai","4 Star & Above Wedding Hotels, Banquet Halls",Chennai ,,,"₹2,200per plate",100-5000,40,+3 more
Ethiraj Kalyana Mandapam,"Banquet Halls, 3 Star Hotels with Banquets","Alwarpet, Chennai ",,,₹350per plate,400-500,10,+3 more
Hashta Grand Hall,"Banquet Halls, Venues With Rooms",Chennai ,,,₹450per plate,250-400,2,+3 more
Green Meadows Resort,"4 Star & Above Wedding Hotels, Banquet Halls","Palavakkam, Chennai ",4.7,13 reviews,"₹1,300per plate",20-1500,19,+3 more
Shree Neelambal Mahal,"Banquet Halls, 3 Star Hotels with Banquets","Pallikaranai, Chennai ",5.0,1 review,₹250per plate,1000-1500,13,+3 more
Fairfield by Marriott Chennai Mahindra World City,"4 Star & Above Wedding Hotels, Banquet Halls",Chennai ,,,"₹1,500per plate",500-1500,40,+3 more
Ananda Mahal,Banquet Halls,"Adambakkam, Chennai ",,1 review,₹700per plate,300-500,,+2 more
Abu Sarovar Portico,"Banquet Halls, 3 Star Hotels with Banquets","Purasawakkam, Chennai ",5.0,1 review,₹900per plate,20-500,85,+3 more
Thamarai Banquet Hall,"Banquet Halls, Small Function / Party Halls",Chennai ,,,₹350per plate,100-200,,+2 more
Kolping Mahal,Banquet Halls,Chennai ,,,₹350per plate,250-400,,+3 more
Sri Udaya Selvi Palace AC,Banquet Halls,Chennai ,,,₹300per plate,150-250,,+2 more
Selvam Mahal,Banquet Halls,"Chromepet, Chennai ",,,₹350per plate,620-750,,+2 more
K R J Garden,Marriage Garden / Lawns,"Adambakkam, Chennai ",,,Price on Request,800-1000,,+2 more
Crossway Park Lane,"Banquet Halls, 3 Star Hotels with Banquets","Pallavaram, Chennai ",,,₹600per plate,42-250,32,+3 more
Ramlakshmi Paradise Kalyana Mandapam,"Banquet Halls, Kalyana Mandapams",Chennai ,5.0,1 review,Price on Request,1000-1200,24,+3 more
Laxmi Narayan Mahal,"Banquet Halls, 3 Star Hotels with Banquets","Tambaram, Chennai ",,2 reviews,₹300per plate,600-900,10,+3 more
Kamakshi Hall,Banquet Halls,"West Mambalam, Chennai ",,,₹800per plate,200-400,,+2 more
Hotel Arya Regency,"Banquet Halls, 3 Star Hotels with Banquets","Hinjewadi, Pune ",,,Price on Request,120-200,25,+3 more
Vijayraj Lawns,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,₹450per plate,200-600,,+2 more
Mahalaxmi Mangal Karyalay,Marriage Garden / Lawns,Pune ,,,Price on Request,700-800,,+2 more
StayVista at Horizon Hues,Marriage Garden / Lawns,Pune ,,,"₹35,000per function",35-60,4,+4 more
"Seven Heaven, Narhe","Banquet Halls, Marriage Garden / Lawns","Narhe, Pune ",5.0,1 review,"₹2,999per plate",1000-3000,11,+3 more
Toyam By Orchid Hotels,Wedding Resorts,Pune ,,,"₹1,599per plate",50-150,21,+3 more
Aahana Retreat,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,₹500per plate,300-500,,+2 more
River Paradise Resort,"Marriage Garden / Lawns, Wedding Resorts",Pune ,,,₹750per plate,650-800,100,+3 more
Sereniity Resort,"Banquet Halls, Marriage Garden / Lawns",Pune ,,1 review,₹800per plate,400-700,22,+4 more
Ellegance Hill Resort,"Marriage Garden / Lawns, 3 Star Hotels with Banquets","Lohegaon, Pune ",,,Price on Request,100-150,30,+3 more
Prabhushree Garden Mangal Karyalaya,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,Price on Request,550-1000,,+2 more
Symphony Hall,"Banquet Halls, Small Function / Party Halls","Hadapsar, Pune ",,,₹250per plate,100-150,,+2 more
Tarsh Gastronomia,Banquet Halls,"Wakad, Pune ",,,₹699per plate,120-200,,+2 more
The Royals,"Banquet Halls, Marriage Garden / Lawns","Lohegaon, Pune ",,,₹500per plate,250-400,,+2 more
Shahi Shehanai Mangal Karyalaya,"Banquet Halls, 3 Star Hotels with Banquets",Pune ,,,₹450per plate,350-500,15,+3 more
"Raghunandan Hall, Sinhagad Road","Banquet Halls, Marriage Garden / Lawns",Pune ,,,₹400per plate,,,+1 more
Hotel Sai Niwas,"Marriage Garden / Lawns, Venues With Rooms",Pune ,,,₹800per plate,30-50,22,+3 more
"Manali Resort, Hadapsar","Banquet Halls, Marriage Garden / Lawns",Pune ,,1 review,₹250per plate,,,+2 more
The Elite Suites,"Banquet Halls, 3 Star Hotels with Banquets","Viman Nagar, Pune ",5.0,1 review,₹450per plate,175-300,34,+3 more
Hotel Janjira,"Banquet Halls, 3 Star Hotels with Banquets","Chinchwad, Pune ",,,₹350per plate,180-300,11,+3 more
Awadh Marriage Lawn,Marriage Garden / Lawns,"Rajajipuram, Lucknow ",,,₹500per plate,250-400,,+2 more
Amar Suhag Lawn,"Marriage Garden / Lawns, Venues With Rooms",Lucknow ,,1 review,₹900per plate,1000-1050,14,+3 more
Drosia Marraige Lawn,"Banquet Halls, Marriage Garden / Lawns","Vrindavan Colony, Lucknow ",,,₹400per plate,70-1000,,+2 more
Hotel Uday Raj Palace,"Banquet Halls, 3 Star Hotels with Banquets","Mahanagar, Lucknow ",,1 review,₹700per plate,350-550,22,+3 more
Dalibagh Officers Club,Banquet Halls,Lucknow ,,1 review,Price on Request,150-250,,+2 more
Hotel Impact,"Banquet Halls, 3 Star Hotels with Banquets","Gomti Nagar, Lucknow ",5.0,22 reviews,₹750per plate,250-300,27,+5 more
Mahi Banquet,"Banquet Halls, Marriage Garden / Lawns","LDA Colony, Lucknow ",,,₹650per plate,150-300,,+2 more
The Saffron Banquet,Banquet Halls,Lucknow ,,,₹850per plate,300-450,,+2 more
Hotel Shanta Inn,"Banquet Halls, 3 Star Hotels with Banquets","Naka Hindola, Lucknow ",,,₹450per plate,250-350,30,+3 more
SKM Paradise,Marriage Garden / Lawns,"Vikas Nagar, Lucknow ",,,"₹95,000per function",1000-1500,,+3 more
SS Grandeur,"Banquet Halls, 3 Star Hotels with Banquets","LDA Colony, Lucknow ",,,₹900per plate,100-150,19,+3 more
Shaolin Golden Leaf Restaurant,Banquet Halls,"Aliganj, Lucknow ",,,Price on Request,70-100,,+2 more
Hotel Divine Classic Inn,Banquet Halls,"Aminabad, Lucknow ",,,₹400per plate,120-200,,+2 more
Emerald Palms,Marriage Garden / Lawns,Lucknow ,,,₹800per plate,600-1000,,+2 more
Hotel Continental Lucknow,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,₹600per plate,300-500,42,+3 more
Star Palace,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,Price on Request,60-100,24,+3 more
Harshada Guest House,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,Price on Request,200-1000,6,+3 more
Baba Marriage and Utsav Lawn,Marriage Garden / Lawns,Lucknow ,,,₹700per plate,500-800,,+2 more
Ranthambore Banquet Hall and Lawn,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,"₹1,400per plate",400-1500,18,+3 more
KN Lawn,"Banquet Halls, Marriage Garden / Lawns","Lalbagh, Lucknow ",,,₹700per plate,150-600,,+3 more
Sanskar Marriage Palace,Banquet Halls,"New Sanganer Road Mansarover, Jaipur ",,,Price on Request,300-400,,+2 more
Jaipur Bungalow,"Banquet Halls, 3 Star Hotels with Banquets",Jaipur ,,,₹450per plate,50-80,15,+3 more
Panigrahan Jagatpura,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,"₹1,200per plate",150-1200,3,+3 more
Ankur Banquet Hall,"Banquet Halls, Venues With Rooms","New Sanganer Road Mansarover, Jaipur ",,,₹450per plate,250-400,2,+3 more
Rajmangal Benquet Hall & Marriage Garden,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,"₹20,000per function",100-300,2,+4 more
Apple Inn,"Banquet Halls, 3 Star Hotels with Banquets","Nirman Nagar, Jaipur ",,,₹550per plate,200-300,18,+4 more
Saipura Bagh,"Marriage Garden / Lawns, 3 Star Hotels with Banquets","Hasanpura, Jaipur ",,,Price on Request,30-500,20,+3 more
Kumar's Govindam,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,₹800per plate,250-3000,,+2 more
Durga Marriage Garden,Marriage Garden / Lawns,"Sanganer, Jaipur ",,,₹400per plate,750-1000,,+2 more
B 5 Marriage Party Lawn,Marriage Garden / Lawns,Jaipur ,,,₹500per plate,800-1200,,+2 more
Pink City Restaurant,"Banquet Halls, Marriage Garden / Lawns","Amer, Jaipur ",,,₹550per plate,80-350,,+2 more
Mulberry Farms,"Marriage Garden / Lawns, Venues With Rooms",Jaipur ,,,"₹5,00,000per function",300-400,3,+4 more
Al Firangi,Small Function / Party Halls,"Chitrakoot, Jaipur ",,,₹500per plate,70-120,,+2 more
Hotel Nand Palace Restro & Lounge,"Small Function / Party Halls, Small Function / Party Halls","Mansarovar, Jaipur ",,,₹450per plate,60-100,18,+3 more
Shivam Resort And Hotel,"Banquet Halls, Marriage Garden / Lawns","Ajmer Road, Jaipur ",5.0,1 review,₹500per plate,300-1050,27,+3 more
Hotel Hill View,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Jaipur ,,,Price on Request,300-500,20,+3 more
Chhabra's Restaurant,"Banquet Halls, Small Function / Party Halls","Nirman Nagar, Jaipur ",,,Price on Request,60-100,,+2 more
Panihari Restaurant with Lawn,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,Price on Request,100-150,,+2 more
Hotel Nilax,"Banquet Halls, 3 Star Hotels with Banquets",Jaipur ,5.0,1 review,₹600per plate,150-200,27,+3 more
Hotel Galaxy Inn,"Banquet Halls, 3 Star Hotels with Banquets",Jaipur ,,,₹700per plate,400-600,23,+3 more
Hotel Sewa Grand Hotel,"Banquet Halls, 3 Star Hotels with Banquets","North Delhi, Delhi NCR ",,3 reviews,"₹1,000per plate",,,+2 more
"Taj Palace, New Delhi","4 Star & Above Wedding Hotels, Destination Wedding Venues","New Delhi, Delhi NCR ",4.7,16 reviews,"₹4,500per plate",30-800,402,+3 more
Shehnai Banquet,Banquet Halls,"Central Delhi, Delhi NCR ",5.0,1 review,"₹1,200per plate",250-600,,+2 more
Sarovar Portico Naraina,"4 Star & Above Wedding Hotels, Venues With Rooms","New Delhi, Delhi NCR ",5.0,1 review,"₹1,050per plate",,,+2 more
The Grand Castle,"Banquet Halls, 3 Star Hotels with Banquets",Delhi NCR ,5.0,2 reviews,₹900per plate,200-500,35,+4 more
Ganpati Farm House,"Marriage Garden / Lawns, Wedding Farmhouses","Ghaziabad, Delhi NCR ",5.0,2 reviews,₹650per plate,400-600,4,+3 more
Vimal Banquet,"Banquet Halls, Convention / Function Halls","Patel Nagar, Delhi NCR ",,1 review,₹550per plate,550-550,,+2 more
Guru Kripa Farms,Marriage Garden / Lawns,"Bakoli, Delhi NCR ",5.0,1 review,₹950per plate,950-1150,,+2 more
Ramada Encore by Wyndham Gurugram Dwarka Expressway,"4 Star & Above Wedding Hotels, Banquet Halls",Delhi NCR ,5.0,2 reviews,"₹2,100per plate",50-275,75,+4 more
Askon Banquet,"Banquet Halls, Convention / Function Halls","Karkardooma, Delhi NCR ",5.0,1 review,₹800per plate,300-500,,+2 more
Awadh Greens Party Lawns & Banquets,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,,2 reviews,"₹1,250per plate",200-1000,1,+3 more
Vatika Garden,Marriage Garden / Lawns,"Sector 17, Delhi NCR ",5.0,1 review,₹700per plate,500-750,,+2 more
Lavanya Dream Banquets,"Banquet Halls, Convention / Function Halls","Peera Garhi, Delhi NCR ",,21 reviews,"₹1,500per plate",200-1000,,+2 more
Shiv Palace,Banquet Halls,"Rohini, Delhi NCR ",5.0,1 review,"₹55,000per function",250-350,,+3 more
Deewan Jee Party Hall,Marriage Garden / Lawns,Delhi NCR ,,1 review,₹500per plate,600-800,,+2 more
Sawariya,Marriage Garden / Lawns,"Hari Nagar, Delhi NCR ",5.0,1 review,₹700per plate,550-700,,+3 more
Hotel Vista-New Delhi,"Banquet Halls, Marriage Garden / Lawns","MG Road, Delhi NCR ",,20 reviews,"₹2,400per plate",450-2100,15,+3 more
White House Party Palace,"Banquet Halls, Convention / Function Halls","Janakpuri, Delhi NCR ",5.0,1 review,₹800per plate,800-1000,,+2 more
Royal Castle,"Banquet Halls, Small Function / Party Halls","Tilak Nagar, Delhi NCR ",5.0,1 review,₹800per plate,100-150,,+2 more
The Crystal,"Banquet Halls, Convention / Function Halls","Laxmi Nagar, Delhi NCR ",5.0,2 reviews,₹900per plate,900-1000,,+2 more
Krishna Mahal,"Banquet Halls, 3 Star Hotels with Banquets","Ambattur, Chennai ",,,₹450per plate,900-1200,23,+3 more
Sri Udaya Selvi Palace AC,Banquet Halls,Chennai ,,,₹300per plate,150-250,,+2 more
Kamakshi Hall,Banquet Halls,"West Mambalam, Chennai ",,,₹800per plate,200-400,,+2 more
Vasantham Marriage Hall,Banquet Halls,"West Mambalam, Chennai ",5.0,1 review,₹550per plate,200-250,,+2 more
Hotel Southern Residency,"Banquet Halls, 3 Star Hotels with Banquets",Chennai ,,2 reviews,₹700per plate,80-250,70,+3 more
Adore Residency,"Banquet Halls, 3 Star Hotels with Banquets","Vadapalani, Chennai ",,,Price on Request,250-350,15,+3 more
Greenfields Resort,"Banquet Halls, Marriage Garden / Lawns","Thirumullaivoyal, Chennai ",5.0,2 reviews,₹350per plate,30-400,,+2 more
Sai KS Mini Hall,Banquet Halls,"Mambalam, Chennai ",,,₹300per plate,250-400,,+2 more
Vettri Krishnan Mahal,Banquet Halls,"West Mambalam, Chennai ",,,₹500per plate,800-1200,,+2 more
Green Grande Inn,"Banquet Halls, 3 Star Hotels with Banquets","Choolaimedu, Chennai ",,,₹400per plate,170-300,24,+3 more
A G S Party Hall,"Banquet Halls, Small Function / Party Halls","Medavakkam, Chennai ",,,₹350per plate,100-150,,+2 more
BSV Mahal,"Banquet Halls, Venues With Rooms",Chennai ,,,₹300per plate,300-450,5,+3 more
Ponni Mahal,Banquet Halls,"Thirumullaivoyal, Chennai ",,,₹300per plate,300-450,,+2 more
Kalyan Hometel,"Banquet Halls, 3 Star Hotels with Banquets","GST Road, Chennai ",,,₹800per plate,300-500,108,+3 more
Green Meadows Resort,"4 Star & Above Wedding Hotels, Banquet Halls","Palavakkam, Chennai ",4.7,13 reviews,"₹1,300per plate",20-1500,19,+3 more
Vasantha Mahal Kalyan Mandapam,"Banquet Halls, Venues With Rooms","Medavakkam, Chennai ",,,₹400per plate,800-1200,2,+3 more
Indira Hall,Banquet Halls,"Kodungaiyur, Chennai ",,,₹300per plate,200-300,,+2 more
Novotel Chennai Chamiers Road,"4 Star & Above Wedding Hotels, Banquet Halls",Chennai ,5.0,1 review,"₹1,200per plate",100-150,108,+3 more
Mary Lawn Party Hall,"Banquet Halls, Marriage Garden / Lawns",Chennai ,,,Price on Request,300-500,,+2 more
KVNS Kamaraj Mini Hall,"Banquet Halls, Small Function / Party Halls","Koyambedu, Chennai ",,,₹300per plate,100-150,,+2 more
Kumbharkar Lawns,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,"₹60,000per function",300-800,,+3 more
Dnyaneshwar Mangal Karyalaya,Banquet Halls,"Shukrawar Peth, Pune ",,,₹180per plate,200-300,,+2 more
Seasons24 Banquet,"Banquet Halls, Convention / Function Halls",Pune ,5.0,3 reviews,"₹1,000per plate",800-1500,,+2 more
Kunal Gardens,Marriage Garden / Lawns,"Pimpri, Pune ",,,₹500per plate,,,+1 more
Yashraj Inn,"Marriage Garden / Lawns, Small Function / Party Halls",Pune ,,,₹500per plate,50-250,,+2 more
KKS' Kitchen,Marriage Garden / Lawns,"Wagholi, Pune ",,,Price on Request,120-200,,+2 more
Grand Hotel,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Pune ,,,"₹1,000per plate",140-350,10,+3 more
Blue Berri Family Restaurant,Marriage Garden / Lawns,"Hadapsar, Pune ",,,₹350per plate,150-200,,+2 more
"Celebration Point, Hinjewadi","Banquet Halls, Small Function / Party Halls","Hinjewadi, Pune ",,,₹500per plate,100-450,,+2 more
Avion Holiday Resort,"Banquet Halls, Marriage Garden / Lawns",Pune ,,,"₹1,200per plate",100-350,50,+3 more
Hotel Span Executive,"Banquet Halls, Marriage Garden / Lawns","Shivajinagar, Pune ",,,₹450per plate,70-150,25,+3 more
Hotel Kohinoor Highway,"Banquet Halls, 3 Star Hotels with Banquets",Pune ,,,₹900per plate,180-230,30,+4 more
Ekvira Lawns,"Marriage Garden / Lawns, Wedding Farmhouses",Pune ,,,Price on Request,2200-2500,3,+3 more
Arthur Theme,Small Function / Party Halls,"Koregaon Park, Pune ",,,₹700per plate,100-150,,+2 more
Zaika Lawns,Marriage Garden / Lawns,"Kothrud, Pune ",,,₹270per plate,450-700,,+2 more
Shahi Bhoj Restaurant & Banquet Hall,Banquet Halls,"Shivajinagar, Pune ",,,Price on Request,150-200,,+2 more
Ambrosia Resort,"Marriage Garden / Lawns, 3 Star Hotels with Banquets","Bavdhan, Pune ",,1 review,₹649per plate,50-700,50,+3 more
The Majestic Banquet Hall And Lounge Bar,"Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,1 review,₹650per plate,700-1000,,+1 more
"Shivar Garden, Pimple Saudagar",Banquet Halls,"Pimple Saudagar, Pune ",,,₹550per plate,150-250,,+2 more
Sri-Sawai Banquets,"Banquet Halls, Convention / Function Halls",Pune ,,,"₹1,50,000per function",450-700,2,+4 more
Florence The Lawn,Marriage Garden / Lawns,"Gomti Nagar, Lucknow ",,,₹650per plate,350-550,,+2 more
SBE Banquets,Banquet Halls,"Gomti Nagar, Lucknow ",,,"₹1,299per plate",150-220,,+2 more
Khwaja Lawn,Marriage Garden / Lawns,"Baraura Hussain Bari, Lucknow ",,,₹300per plate,600-1000,,+2 more
S & S Banquets,Banquet Halls,"LDA Colony, Lucknow ",,,Price on Request,200-250,,+2 more
Mayur Garden,"Marriage Garden / Lawns, Wedding Farmhouses",Lucknow ,,,"₹1,300per plate",1000-1500,8,+3 more
Shree Nath Marriage Hall,Banquet Halls,"Jankipuram, Lucknow ",,,"₹65,000per function",250-350,,+3 more
Tayyab Marriage Hall,Marriage Garden / Lawns,Lucknow ,,,₹500per plate,300-500,,+2 more
M R Club & Banquet,"Banquet Halls, Small Function / Party Halls","Telibagh, Lucknow ",,,₹650per plate,,,+1 more
SS Lawn,Marriage Garden / Lawns,Lucknow ,,,₹400per plate,300-450,,+2 more
Sammy Grand,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,₹750per plate,100-150,18,+3 more
The Raajputana,Marriage Garden / Lawns,Lucknow ,,3 reviews,Price on Request,290-400,,+2 more
Guru Nanak Marriage Lawn,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,,₹800per plate,650-800,12,+4 more
The Lillivillas,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,"₹1,400per plate",250-300,37,+3 more
Khatirdari Upvan,Marriage Garden / Lawns,"Gomti Nagar, Lucknow ",,,₹900per plate,500-750,,+2 more
Hotel Myriad,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,₹850per plate,30-160,23,+3 more
Maan Lawn,Marriage Garden / Lawns,"Triveni Nagar, Lucknow ",,,₹600per plate,500-700,,+2 more
Citizen Banquet Hall,"Banquet Halls, Convention / Function Halls",Lucknow ,,,₹300per plate,150-500,,+2 more
Savotel,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,,,"₹1,200per plate",250-500,32,+3 more
Vandana Lawn,Marriage Garden / Lawns,Lucknow ,,,₹750per plate,550-800,,+2 more
Hotel Buddha Residency,"Banquet Halls, 3 Star Hotels with Banquets","Alambagh, Lucknow ",,,₹750per plate,100-150,24,+3 more
Hotel Krishna Restaurant,"3 Star Hotels with Banquets, Small Function / Party Halls","Lal Kothi, Jaipur ",4.8,2 reviews,₹400per plate,100-140,25,+3 more
B R Paradise,"Banquet Halls, Marriage Garden / Lawns",Jaipur ,4.5,1 review,₹350per plate,200-1200,,+2 more
Area 11 Lounge Cafe,Banquet Halls,"Mansarovar, Jaipur ",,,₹600per plate,120-200,,+1 more
Hotel Manohar Palace,"3 Star Hotels with Banquets, Small Function / Party Halls","Sanganer, Jaipur ",,,₹400per plate,60-100,27,+3 more
Sukhad Garden,Marriage Garden / Lawns,"Sanganer, Jaipur ",,,Price on Request,1000-1500,,+2 more
Mahadev Marriage Garden,Marriage Garden / Lawns,Jaipur ,,,₹600per plate,200-500,,+3 more
Anand Van,"Banquet Halls, Marriage Garden / Lawns","Kanakpura, Jaipur ",4.5,2 reviews,"₹1,000per plate",350-1800,,+1 more
Club Trove,Small Function / Party Halls,Jaipur ,,,₹700per plate,60-150,,+2 more
Chanda Garden,"Marriage Garden / Lawns, Venues With Rooms",Jaipur ,5.0,2 reviews,₹500per plate,170-1500,36,+3 more
Restro NH 11,"Small Function / Party Halls, Small Function / Party Halls","Mansarovar, Jaipur ",,,₹850per plate,90-150,,+2 more
Bissau Palace,"Marriage Garden / Lawns, 3 Star Hotels with Banquets",Jaipur ,5.0,1 review,"₹1,200per plate",60-80,40,+3 more
Reet Mahal ( Unit Of Event Master LLP),"Banquet Halls, Marriage Garden / Lawns",Jaipur ,,,₹800per plate,400-600,24,+3 more
The Artists' Farm,Marriage Garden / Lawns,Jaipur ,,,"₹1,50,000per function",100-120,6,+4 more
Savista Retreat,"Marriage Garden / Lawns, 3 Star Hotels with Banquets","Ajmer Road, Jaipur ",5.0,3 reviews,"₹1,550per plate",,,+2 more
Hotel Bagga Vilas,"Banquet Halls, Marriage Garden / Lawns","Jawahar Nagar, Jaipur ",,,₹600per plate,100-250,20,+3 more
Logan Berry Sky Lounge,Small Function / Party Halls,"Vaishali Nagar, Jaipur ",,,₹650per plate,40-100,,+2 more
Poonam Marriage Garden,Marriage Garden / Lawns,"Kalwar Road, Jaipur ",,,₹400per plate,2000-3000,,+2 more
Jaipur Marriott Hotel,"4 Star & Above Wedding Hotels, Banquet Halls","Chitrakoot, Jaipur ",4.6,17 reviews,"₹2,500per plate",10-800,374,+3 more
Salasar Farm House,Marriage Garden / Lawns,"Murlipura, Jaipur ",,,Price on Request,200-300,,+2 more
Shubham Resorts,"Banquet Halls, Marriage Garden / Lawns","Ajmer Road, Jaipur ",,2 reviews,₹750per plate,100-1000,72,+3 more
Hotel Piccaso Pachim Vihar,Banquet Halls,"Paschim Vihar, Delhi NCR ",,6 reviews,₹750per plate,750-850,,+2 more
Shiv Palace,Banquet Halls,"Rohini, Delhi NCR ",5.0,1 review,"₹55,000per function",250-350,,+3 more
Sawan Banquets,Banquet Halls,Delhi NCR ,,2 reviews,"₹1,000per plate",150-250,,+2 more
Kings Valley Surajkund,"Banquet Halls, Marriage Garden / Lawns","Surajkund, Delhi NCR ",,13 reviews,"1,250per plate",150-1500,80,+3 more
ShantiDeep Garden Resort,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,1 review,"₹1,70,000per function",250-700,,+3 more
Kansals Angana,"Banquet Halls, Marriage Garden / Lawns","Dwarka, Delhi NCR ",5.0,1 review,"₹1,000per plate",200-500,,+1 more
