Name,Type,Location,Ratings,Reviews,Menu_Price,Pax,Rooms,Amenities
The Bundigarh Resort,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,5.0,29 reviews,"₹1,000per plate",,,+5 more
Ornate Lucknow,"Banquet Halls, Marriage Garden / Lawns","Vrindavan Colony, Lucknow ",,26 reviews,"₹2,375per plate",50-2000,50,+4 more
Divyansh Palace,"Banquet Halls, Marriage Garden / Lawns","Jankipuram, Lucknow ",4.6,27 reviews,₹600per plate,200-700,7,+6 more
Zaarang Inn Hotel & Banquet,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,4.8,27 reviews,₹900per plate,50-1200,50,+7 more
Prithvi Resort,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,4.9,13 reviews,₹800per plate,30-700,75,+5 more
Jashn Resort,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,,19 reviews,"₹1,399per plate",30-2000,35,+4 more
MB Garden & Resorts,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,5.0,119 reviews,₹700per plate,500-1800,26,+7 more
"Marriott Renaissance, Lucknow","4 Star & Above Wedding Hotels, Banquet Halls","Gomti Nagar, Lucknow ",4.5,7 reviews,"₹3,400per plate",35-800,111,+3 more
Kingship by Kahlon,"Banquet Halls, Marriage Garden / Lawns","Vrindavan Colony, Lucknow ",5.0,10 reviews,"₹1,200per plate",80-400,35,+4 more
Hotel Ashiyana Residency,"Banquet Halls, 3 Star Hotels with Banquets",Lucknow ,5.0,15 reviews,₹800per plate,50-1700,32,+5 more
Hotel Emperio Grand & Banquet Hall,"Banquet Halls, 3 Star Hotels with Banquets","Alambagh, Lucknow ",5.0,12 reviews,₹900per plate,100-250,18,+4 more
Shyama Sarovar Portico,"Banquet Halls, Marriage Garden / Lawns",Lucknow ,5.0,3 reviews,"₹1,600per plate",20-1600,72,+4 more
Royal Greens Banquet and Lawn,"Banquet Halls, Marriage Garden / Lawns","Vrindavan Colony, Lucknow ",,8 reviews,"₹1,100per plate",50-1000,4,+4 more
The Trade International,"Banquet Halls, Marriage Garden / Lawns","Sanganer, Jaipur ",5.0,6 reviews,"₹1,850per plate",30-2500,59,+3 more
Four Points By Sheraton,"4 Star & Above Wedding Hotels, Banquet Halls","Gopalpura, Jaipur ",4.5,1 review,"₹1,400per plate",40-200,114,+3 more
