Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
"holiday inn gurgaon nh8, an ihg hotel","4 star & above wedding hotels, banquet halls",5.0,1,2999.0,137,30,500,ncr,4
atalia resort,"banquet halls, marriage garden / lawns",5.0,4,1500.0,10,75,200,ncr,5
rigveda palace,"banquet halls, marriage garden / lawns",5.0,18,1250.0,4,150,2000,ncr,5
shubh celebrations,"marriage garden / lawns, venues with rooms",4.8,29,1800.0,3,150,1000,ncr,7
shyam bagh,"banquet halls, marriage garden / lawns",5.0,7,1500.0,2,250,600,ncr,4
deewan palace,"banquet halls, marriage garden / lawns",5.0,1,1000.0,38,100,2500,ncr,3
crossroads banquets conventions,"banquet halls, marriage garden / lawns",4.9,12,1500.0,100,150,1200,ncr,3
hyatt place udyog vihar gurgaon,"4 star & above wedding hotels, banquet halls",5.0,12,3000.0,176,100,400,ncr,4
the leela ambience gurugram hotel & residences,"4 star & above wedding hotels, banquet halls",5.0,18,5000.0,412,70,1000,ncr,4
the white palace banquet by khanak,"banquet halls, marriage garden / lawns",4.7,15,1200.0,60,150,700,ncr,4
nagasaran gardens,"marriage garden / lawns, wedding farmhouses",5.0,1,650.0,2,400,600,chennai,3
the residency towers,"4 star & above wedding hotels, banquet halls",5.0,1,1000.0,174,240,400,chennai,3
inayath mahal,banquet halls,5.0,1,350.0,21,1000,1500,chennai,2
madharas banquet hall t.nagar,"banquet halls, venues with rooms",5.0,1,560.0,4,500,550,chennai,4
ruckmani ramjee convention halls,"banquet halls, convention / function halls",5.0,1,800.0,4,400,600,chennai,4
confluence,"4 star & above wedding hotels, banquet halls",5.0,1,1600.0,90,650,2500,chennai,3
the grand blossoms resort,"marriage garden / lawns, 3 star hotels with banquets",5.0,1,600.0,17,2500,3000,chennai,3
kanthimathi kalyana mandapam,"banquet halls, kalyana mandapams",5.0,2,350.0,21,400,600,chennai,2
fortel hotel,"banquet halls, 3 star hotels with banquets",5.0,2,750.0,82,40,250,chennai,3
sri vedantha desika hall,banquet halls,5.0,1,300.0,21,150,250,chennai,2
sri varalakshmi mahal,banquet halls,5.0,1,300.0,21,600,900,chennai,2
"ramada plaza by wyndham, chennai","4 star & above wedding hotels, banquet halls",4.8,3,1600.0,134,300,500,chennai,3
arasan mahal,banquet halls,5.0,1,40000.0,21,120,150,chennai,3
vel vignesh mahal,banquet halls,5.0,1,300.0,21,250,350,chennai,2
hotel palmgrove,"banquet halls, 3 star hotels with banquets",5.0,3,300.0,89,300,500,chennai,3
"lemon tree premier, city center, pune","3 star hotels with banquets, destination wedding venues",5.0,1,800.0,80,80,100,pune,3
"kalbhor lawns, manjri","marriage garden / lawns, convention / function halls",4.5,1,500.0,21,700,2100,pune,2
the poona club,"banquet halls, marriage garden / lawns",5.0,1,500.0,18,70,1200,pune,3
prashant banquet hall,banquet halls,5.0,1,275.0,21,225,350,pune,2
hyatt pune,"4 star & above wedding hotels, banquet halls",4.5,5,2000.0,209,150,250,pune,3
shree sidhhi lawns,marriage garden / lawns,4.5,1,100000.0,21,200,500,pune,2
hyatt regency pune & residences,"4 star & above wedding hotels, banquet halls",4.6,12,2200.0,222,100,1000,pune,2
golden field resort,"banquet halls, 3 star hotels with banquets",5.0,4,1450.0,30,50,1000,pune,3
"omkar garden, kondhwa","banquet halls, convention / function halls",5.0,1,500.0,21,1000,2200,pune,2
hotel ambience excellency,"banquet halls, 3 star hotels with banquets",4.5,1,600.0,21,200,500,pune,2
"digambar hall and lawn, kothrud","banquet halls, marriage garden / lawns",4.5,1,400.0,21,250,700,pune,2
spree shivai hotel,"4 star & above wedding hotels, banquet halls",5.0,6,799.0,43,500,600,pune,3
crowne plaza pune city centre,"4 star & above wedding hotels, banquet halls",5.0,2,1200.0,21,200,500,pune,2
conrad pune,"4 star & above wedding hotels, banquet halls",5.0,11,3800.0,21,200,500,pune,2
punyaee sabhagruha,"banquet halls, convention / function halls",5.0,1,350.0,21,200,750,pune,2
lake view resort,"banquet halls, marriage garden / lawns",5.0,1,600.0,21,600,600,pune,2
"jarande lawns, kondhwa","banquet halls, marriage garden / lawns",5.0,1,750.0,21,200,500,pune,1
"aher garden mangal karyalaya, chinchwad","marriage garden / lawns, convention / function halls",4.5,2,400.0,21,600,900,pune,2
"kalyan mandap, vikas nagar",marriage garden / lawns,5.0,1,500.0,21,380,600,lucknow,2
parinay marriage lawn,"banquet halls, marriage garden / lawns",5.0,1,600.0,21,200,700,lucknow,2
"jc guesthouse, lucknow","banquet halls, marriage garden / lawns",5.0,1,500.0,21,200,500,lucknow,2
g s lawn,"banquet halls, marriage garden / lawns",5.0,4,900.0,21,45,500,lucknow,2
buddha resort,marriage garden / lawns,5.0,1,500.0,21,120,200,lucknow,2
shagun vatika lawn,"banquet halls, convention / function halls",4.5,1,500.0,21,400,500,lucknow,2
hilton garden inn,"4 star & above wedding hotels, banquet halls",5.0,8,2300.0,124,50,450,lucknow,3
hotel the golden apple,"banquet halls, 3 star hotels with banquets",5.0,2,1300.0,33,70,400,lucknow,3
hotel starfield,"4 star & above wedding hotels, banquet halls",5.0,1,250000.0,10,250,500,lucknow,4
le delicacy,"banquet halls, venues with rooms",5.0,1,600.0,20,600,600,lucknow,3
hotel lineage,"banquet halls, small function / party halls",5.0,8,1400.0,21,90,300,lucknow,2
the hinga marriage lawn & resort,"banquet halls, marriage garden / lawns",5.0,2,1000.0,11,200,1500,lucknow,3
favour banquet,"banquet halls, venues with rooms",5.0,1,700.0,3,200,350,lucknow,3
club gusto,"banquet halls, venues with rooms",4.6,13,1650.0,9,250,600,lucknow,3
rajwada lawns,"banquet halls, marriage garden / lawns",5.0,4,800.0,21,125,1500,lucknow,2
vj banquet hall,"banquet halls, venues with rooms",4.9,17,500.0,11,120,200,lucknow,5
scorpio club,"banquet halls, marriage garden / lawns",4.8,4,1399.0,82,50,1200,lucknow,4
"swarn mahal, the banquet","banquet halls, marriage garden / lawns",5.0,4,1500.0,40,30,500,jaipur,3
samskara resort & spa,"4 star & above wedding hotels, banquet halls",5.0,2,1500.0,50,75,800,jaipur,3
renest jaipur lawn,"banquet halls, 3 star hotels with banquets",5.0,1,900.0,80,40,300,jaipur,4
nest jaipur luxury hotels and resorts,"4 star & above wedding hotels, banquet halls",5.0,5,2500.0,107,100,2500,jaipur,3
hotel maharaja palace,"marriage garden / lawns, 3 star hotels with banquets",5.0,5,2000.0,21,100,150,jaipur,4
chokhi dhani resort,"4 star & above wedding hotels, banquet halls",5.0,2,2500.0,21,200,500,jaipur,2
"roop garh palace, jaipur","marriage garden / lawns, 3 star hotels with banquets",5.0,1,800000.0,100,1000,1500,jaipur,4
sunrise resort,"banquet halls, marriage garden / lawns",4.8,6,1800.0,92,250,800,jaipur,3
doubletree by hilton jaipur amer,"banquet halls, marriage garden / lawns",5.0,1,3000.0,151,30,1500,jaipur,3
all starr club,"banquet halls, 3 star hotels with banquets",4.9,13,900.0,20,300,380,jaipur,6
hotel raj bagh palace,"4 star & above wedding hotels, banquet halls",4.8,7,2000.0,60,75,3000,jaipur,3
diggi palace – a heritage hotel,"4 star & above wedding hotels, banquet halls",5.0,3,2000.0,75,120,1200,jaipur,4
kothi lohagarh,"banquet halls, marriage garden / lawns",5.0,1,150000.0,15,50,400,jaipur,4
hotel fortune prime,"banquet halls, marriage garden / lawns",5.0,2,1000.0,31,1000,1500,jaipur,3
